start;duration;pitch;velocity;instrument;string;fret;hammer;slides;harmonic;stroke
0.0;0.20833333333333331;55;95;guitar;3;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
0.20833333333333326;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
0.4166666666666665;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
0.625;0.20833333333333331;50;95;guitar;4;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
0.833333333333333;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
1.0416666666666665;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
1.25;0.20833333333333331;55;95;guitar;3;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
1.458333333333333;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
1.6666666666666665;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
1.875;0.20833333333333331;57;95;guitar;3;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
2.083333333333333;0.20833333333333331;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
2.2916666666666665;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
2.5;0.20833333333333331;50;95;guitar;4;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
2.708333333333333;0.20833333333333331;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
2.916666666666666;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
3.125;0.625;66;95;guitar;1;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
3.125;0.625;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
3.125;0.625;57;95;guitar;3;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
3.75;0.20833333333333331;54;95;guitar;4;4;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
3.958333333333333;0.20833333333333331;60;95;guitar;3;5;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
4.166666666666666;0.20833333333333331;69;95;guitar;1;5;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
4.375;0.20833333333333331;50;95;guitar;4;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
4.583333333333333;0.20833333333333331;60;95;guitar;3;5;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
4.791666666666666;0.20833333333333331;69;95;guitar;1;5;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
5.0;0.20833333333333331;54;95;guitar;4;4;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
5.208333333333333;0.20833333333333331;60;95;guitar;3;5;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
5.416666666666666;0.20833333333333331;69;95;guitar;1;5;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
5.625;0.20833333333333331;55;95;guitar;3;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
5.833333333333333;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
6.041666666666666;0.20833333333333331;69;95;guitar;1;5;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
6.25;0.20833333333333331;50;95;guitar;4;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
6.458333333333333;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
6.666666666666666;0.20833333333333331;69;95;guitar;1;5;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
6.875;0.625;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
6.875;0.625;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
6.875;0.625;55;95;guitar;3;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
7.5;0.20833333333333331;43;95;guitar;6;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
7.708333333333332;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
7.916666666666666;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
8.125;0.20833333333333331;47;95;guitar;5;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
8.333333333333332;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
8.541666666666666;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
8.75;0.20833333333333331;43;95;guitar;6;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
8.958333333333332;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
9.166666666666666;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
9.375;0.20833333333333331;48;95;guitar;5;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
9.583333333333332;0.20833333333333331;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
9.791666666666666;0.20833333333333331;64;95;guitar;1;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
10.0;0.20833333333333331;52;95;guitar;4;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
10.208333333333332;0.20833333333333331;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
10.416666666666666;0.20833333333333331;64;95;guitar;1;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
10.625;0.20833333333333331;48;95;guitar;5;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
10.833333333333332;0.20833333333333331;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
11.041666666666666;0.20833333333333331;64;95;guitar;1;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
11.25;0.20833333333333331;50;95;guitar;4;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
11.458333333333332;0.20833333333333331;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
11.666666666666666;0.20833333333333331;66;95;guitar;1;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
11.875;0.20833333333333331;57;95;guitar;3;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
12.083333333333332;0.20833333333333331;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
12.291666666666666;0.20833333333333331;66;95;guitar;1;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
12.5;0.20833333333333331;50;95;guitar;4;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
12.708333333333332;0.20833333333333331;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
12.916666666666666;0.20833333333333331;66;95;guitar;1;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
13.125;0.625;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
13.125;0.625;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
13.125;0.625;55;95;guitar;3;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
13.75;0.625;43;95;guitar;6;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
15.0;0.20833333333333331;55;95;guitar;3;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
15.208333333333332;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
15.416666666666664;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
15.625;0.20833333333333331;50;95;guitar;4;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
15.833333333333332;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
16.041666666666664;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
16.25;0.20833333333333331;55;95;guitar;3;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
16.458333333333332;0.20833333333333331;59;95;guitar;2;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
16.666666666666664;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
16.875;0.20833333333333331;57;95;guitar;3;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
17.083333333333332;0.20833333333333331;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
17.291666666666664;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
17.5;0.20833333333333331;50;95;guitar;4;0;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
17.708333333333332;0.20833333333333331;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
17.916666666666664;0.20833333333333331;67;95;guitar;1;3;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
18.125;0.625;66;95;guitar;1;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
18.125;0.625;60;95;guitar;2;1;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
18.125;0.625;57;95;guitar;3;2;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
18.75;0.20833333333333331;54;95;guitar;4;4;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
18.958333333333332;0.20833333333333331;60;95;guitar;3;5;False;[];;BeatStroke(direction=<BeatStrokeDirection.none: 0>, value=0)
